(al/br)a : [[0], [0]]
(al/er)a : [[0], [0]]
(al/se)a : [[0], [0]]
(al/sp)a : [[0], [0]]
(al/te)a : [[0], [0]]
(al/vi)a : [[0], [0]]
(al/ye)a : [[0], [0]]
(an/br)a : [[0], [0]]
(an/er)a : [[0], [0]]
(an/se)a : [[0], [0]]
(an/sp)a : [[0], [0]]
(an/te)a : [[0], [0]]
(an/vi)a : [[0], [0]]
(an/ye)a : [[0], [0]]
(br/se)a : [[0], [0]]
(br/sp)a : [[0], [0]]
(br/te)a : [[0], [0]]
(br/vi)a : [[0], [0]]
(br/ye)a : [[0], [0]]
(er/se)a : [[0], [0]]
(er/sp)a : [[0], [0]]
(er/te)a : [[0], [0]]
(er/vi)a : [[0], [0]]
(er/ye)a : [[0], [0]]
(se/vi)a : [[0], [0]]
(sp/te)a : [[0], [0]]
(sp/vi)a : [[0], [0]]
(sp/ye)a : [[0], [0]]
(te/vi)a : [[0], [0]]
(vi/ye)a : [[0], [0]]
(bo/ca)b : [[0], [0]]
(bo/hu)b : [[0], [0]]
(bo/la)b : [[0], [0]]
(bo/li)b : [[0], [0]]
(bo/pu)b : [[0], [0]]
(bo/su)b : [[0], [0]]
(bo/ta)b : [[0], [0]]
(bo/tu)b : [[0], [0]]
(bo/we)b : [[0], [0]]
(ca/hu)b : [[0], [0]]
(ca/jo)b : [[0], [0]]
(ca/li)b : [[0], [0]]
(ca/pu)b : [[0], [0]]
(ca/ro)b : [[0], [0]]
(ca/su)b : [[0], [0]]
(ca/tu)b : [[0], [0]]
(ca/we)b : [[0], [0]]
(hu/jo)b : [[0], [0]]
(hu/la)b : [[0], [0]]
(hu/li)b : [[0], [0]]
(hu/ro)b : [[0], [0]]
(hu/ta)b : [[0], [0]]
(hu/we)b : [[0], [0]]
(jo/la)b : [[0], [0]]
(jo/li)b : [[0], [0]]
(jo/pu)b : [[0], [0]]
(jo/su)b : [[0], [0]]
(jo/ta)b : [[0], [0]]
(jo/tu)b : [[0], [0]]
(jo/we)b : [[0], [0]]
(la/pu)b : [[0], [0]]
(la/ro)b : [[0], [0]]
(la/su)b : [[0], [0]]
(la/tu)b : [[0], [0]]
(la/we)b : [[0], [0]]
(li/pu)b : [[0], [0]]
(li/ro)b : [[0], [0]]
(li/su)b : [[0], [0]]
(li/ta)b : [[0], [0]]
(li/tu)b : [[0], [0]]
(li/we)b : [[0], [0]]
(pu/ro)b : [[0], [0]]
(pu/ta)b : [[0], [0]]
(pu/we)b : [[0], [0]]
(ro/su)b : [[0], [0]]
(ro/ta)b : [[0], [0]]
(ro/tu)b : [[0], [0]]
(ro/we)b : [[0], [0]]
(su/ta)b : [[0], [0]]
(su/we)b : [[0], [0]]
(ta/we)b : [[0], [0]]
(tu/we)b : [[0], [0]]
(ar/do)c : [[0], [0]]
(ar/ma)c : [[0], [0]]
(ar/mi)c : [[0], [0]]
(ar/pa)c : [[0], [0]]
(ar/pi)c : [[0], [0]]
(ar/re)c : [[0], [0]]
(ar/se)c : [[0], [0]]
(ar/si)c : [[0], [0]]
(do/ma)c : [[0], [0]]
(do/mi)c : [[0], [0]]
(do/pa)c : [[0], [0]]
(do/pi)c : [[0], [0]]
(do/re)c : [[0], [0]]
(do/se)c : [[0], [0]]
(do/si)c : [[0], [0]]
(ma/pi)c : [[0], [0]]
(ma/re)c : [[0], [0]]
(ma/se)c : [[0], [0]]
(ma/si)c : [[0], [0]]
(mi/pa)c : [[0], [0]]
(mi/re)c : [[0], [0]]
(mi/se)c : [[0], [0]]
(pa/re)c : [[0], [0]]
(pa/se)c : [[0], [0]]
(pa/si)c : [[0], [0]]
(pi/re)c : [[0], [0]]
(pi/se)c : [[0], [0]]
(re/si)c : [[0], [0]]
(ad/ba)d : [[0], [0]]
(ad/be)d : [[0], [0]]
(ad/bi)d : [[0], [0]]
(ad/ca)d : [[0], [0]]
(ad/co)d : [[0], [0]]
(ad/da)d : [[0], [0]]
(ad/di)d : [[0], [0]]
(ad/en)d : [[0], [0]]
(ad/fe)d : [[0], [0]]
(ad/ha)d : [[0], [0]]
(ad/ki)d : [[0], [0]]
(ad/le)d : [[0], [0]]
(ad/li)d : [[0], [0]]
(ad/ma)d : [[0], [0]]
